"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"Costa Rica"	188	4670	5076	5455	5809	6123	6411	6672	6925	7145	7340	7496	7645	7765	7873	7979	8073	8171	8264	8362
"El Salvador"	222	6218	6540	6868	7169	7442	7699	7939	8179	8388	8589	8773	8914	9056	9203	9330	9460	9581	9717	9861
"Guatemala"	320	14342	16592	19113	21908	24958	28284	31902	35939	40257	44886	49945	55409	61119	66960	73210	79969	86549	94032	101738
"Honduras"	340	7621	8581	9603	10656	11717	12835	13995	15164	16386	17648	18855	20114	21340	22580	23789	24909	26070	27099	28328
"Mexico"	484	117886	127288	136495	145544	154090	162196	169885	177172	183967	189874	195119	199581	204167	208932	213081	217143	221041	224989	229240
"Nicaragua"	558	5822	6376	6926	7462	8004	8536	9080	9604	10084	10574	11049	11464	11862	12197	12533	12883	13201	13546	13866
"Panama"	591	3678	4049	4431	4824	5222	5616	6003	6404	6805	7204	7576	7952	8304	8683	9007	9304	9631	9986	10270
"South America"	931	394021	419528	444205	467918	489730	510044	528781	546776	562288	576211	588296	598611	607884	615906	623387	629212	635788	642566	647341
"Argentina"	32	40374	42780	45176	47564	49972	52399	54873	57412	59935	62494	64819	67257	69838	72310	74817	77431	80039	82655	85082
"Bolivia (Plurinational State of)"	68	10157	11228	12398	13620	14903	16223	17592	19059	20618	22203	23851	25557	27318	29118	30907	32867	34881	36826	38832
"Brazil"	76	195210	206575	217456	227513	236965	245660	253794	261166	268221	274315	279802	283931	288357	292365	295777	298288	301669	305105	308506
"Chile"	152	17151	18171	19158	20078	20896	21628	22303	22948	23517	24015	24467	24834	25205	25575	25957	26356	26708	27051	27445
"Colombia"	170	46445	50310	54100	57775	61271	64634	67998	71147	74094	76860	79538	82095	84323	86571	88708	90409	92332	94468	96639
"Ecuador"	218	15001	16486	18006	19567	21107	22649	24253	25838	27458	29051	30577	32047	33656	35119	36510	37875	39251	40537	41809
"Falkland Islands (Malvinas)"	238	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4
"French Guiana"	254	231	266	304	345	388	432	478	527	579	630	682	735	787	841	901	959	1020	1080	1137
"Guyana"	328	786	821	854	887	918	944	965	978	988	995	1004	1016	1028	1042	1051	1064	1081	1107	1134
"Paraguay"	600	6460	7157	7892	8660	9434	10215	11012	11837	12691	13561	14466	15407	16338	17212	18231	19241	20167	21166	22140
"Peru"	604	29263	31657	34211	36746	39227	41656	44062	46403	48672	50868	52995	55012	56806	58444	60093	61733	63488	65043	66438
"Suriname"	740	525	557	587	618	646	671	692	713	733	756	778	800	821	840	858	876	893	912	928
"Uruguay"	858	3372	3476	3576	3687	3794	3901	4006	4103	4201	4304	4409	4505	4611	4718	4826	4941	5053	5156	5280
"Venezuela (Bolivarian Republic of)"	862	29043	31811	34523	37202	39866	42505	45134	47702	50307	52702	55166	57513	59841	62015	64178	66267	68392	70194	71993
"NORTHERN AMERICA"	905	346501	362371	379037	395975	412482	427751	442024	456228	470148	484648	499427	515119	530654	545598	560804	575359	589624	604313	618903
"Bermuda"	60	65	66	67	68	69	69	69	69	70	70	71	72	73	74	76	77	79	81	83
"Canada"	124	34126	35995	37948	39817	41589	43233	44821	46374	48021	49624	51185	52730	54249	55820	57298	58632	59998	61416	62787
"Greenland"	304	57	58	59	59	58	58	59	59	59	60	60	61	62	63	64	65	66	67	69
"Saint Pierre and Miquelon"	666	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	9	9	9
"United States of America"	840	312247	326363	341209	356457	371368	385330	398397	411124	424366	437652	451369	465791	479974	493909	508011	521946	536234	550979	564590
"OCEANIA"	909	36659	39611	42642	45705	48736	51794	54861	58012	61240	64466	67549	70698	73621	76655	79533	82327	84882	87449	89975
"Australia/New Zealand"	927	26773	28699	30660	32613	34525	36379	38229	40171	42181	44154	45988	47808	49601	51356	53012	54605	56060	57499	58773
"Australia"	36	22404	24103	25832	27569	29269	30946	32638	34388	36249	38077	39772	41447	43087	44732	46371	47918	49335	50834	52002
"New Zealand"	554	4368	4612	4880	5157	5422	5667	5901	6138	6371	6609	6844	7094	7331	7560	7793	7997	8213	8412	8592
"Melanesia"	928	8729	9785	10898	12083	13346	14638	16016	17475	19010	20559	22208	23936	25711	27593	29562	31495	33441	35475	37632
"Fiji"	242	861	908	948	982	1014	1044	1072	1099	1126	1154	1180	1210	1240	1274	1308	1347	1385	1427	1471
"New Caledonia"	540	246	267	288	310	331	352	373	394	415	435	455	473	491	508	525	540	556	570	583
"Papua New Guinea"	598	6859	7772	8748	9803	10920	12109	13358	14711	16135	17624	19103	20749	22487	24294	26192	28022	29922	31899	33832
"Solomon Islands"	90	526	595	668	746	832	926	1027	1137	1252	1371	1503	1648	1794	1953	2114	2284	2465	2650	2842
"Vanuatu"	548	236	269	304	341	382	426	474	524	578	636	696	759	827	894	966	1038	1119	1199	1281
"Micronesia"	954	498	523	557	591	625	656	684	711	736	760	785	809	833	856	879	902	924	948	970
"Guam"	316	159	172	186	200	213	226	240	253	266	279	293	306	319	332	345	357	369	381	393
"Kiribati"	296	98	107	118	130	142	154	165	177	191	205	221	235	250	266	282	298	316	333	352
"Marshall Islands"	584	52	54	57	60	63	69	76	82	87	93	99	109	120	130	142	153	164	177	190
"Micronesia (Fed. States of)"	583	104	106	114	123	132	139	146	153	161	171	181	190	199	207	216	226	237	249	261
"Nauru"	520	10	10	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15
"Northern Mariana Islands"	580	54	56	57	59	60	60	60	59	58	57	55	53	52	51	50	49	49	48	47
"Palau"	585	20	22	23	25	26	28	29	31	32	34	35	37	38	39	40	41	41	42	43
"Polynesia"	957	660	691	725	759	793	828	862	895	924	961	1003	1050	1098	1149	1199	1251	1302	1354	1410
"American Samoa"	16	56	56	60	63	66	69	72	74	77	81	85	89	93	98	103	108	114	121	128
"Cook Islands"	184	20	21	22	23	24	25	26	27	28	29	30	31	31	32	33	33	34	34	35
"French Polynesia"	258	268	287	306	323	339	353	366	378	390	402	412	421	430	438	446	455	463	471	481
"Niue"	570	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
"Samoa"	882	186	196	206	216	228	244	261	279	297	321	350	383	419	458	497	541	584	631	675
"Tokelau"	772	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"Tonga"	776	104	108	115	122	130	140	150	160	171	184	201	220	241	262	284	306	331	357	383
"Tuvalu"	798	10	10	10	11	12	12	13	13	15	16	17	19	20	22	23	25	27	28	30
"Wallis and Futuna Islands"	876	14	13	14	14	14	15	15	15	16	16	17	17	17	18	18	18	19	19	19
